cdr_id,caller,receiver,timestamp,duration_seconds,scenario_tag
CDR0001,P005,P006,2026-09-01 13:15:00,159,NORMAL
CDR0002,P006,P007,2026-09-01 19:47:00,324,NORMAL
CDR0003,P005,P006,2026-09-02 09:01:00,92,NORMAL
CDR0004,P007,P008,2026-09-01 17:38:00,58,NORMAL
CDR0005,P006,P009,2026-09-01 19:44:00,324,NORMAL
CDR0006,P010,P004,2026-09-01 16:37:00,187,NORMAL
CDR0007,P004,P005,2026-09-01 15:21:00,187,NORMAL
CDR0008,P006,P007,2026-09-01 14:06:00,92,NORMAL
CDR0009,P010,P004,2026-09-01 14:54:00,221,NORMAL
CDR0010,P007,P010,2026-09-02 09:46:00,280,NORMAL
CDR0011,P006,P009,2026-09-01 15:05:00,327,NORMAL
CDR0012,P008,P009,2026-09-02 18:12:00,405,NORMAL
CDR0013,P005,P006,2026-09-01 19:14:00,193,NORMAL
CDR0014,P005,P006,2026-09-01 10:24:00,187,NORMAL
CDR0015,P005,P008,2026-09-02 11:23:00,226,NORMAL
CDR0016,P007,P008,2026-09-02 19:41:00,81,NORMAL
CDR0017,P007,P010,2026-09-01 17:46:00,170,NORMAL
CDR0018,P006,P007,2026-09-02 15:17:00,372,NORMAL
CDR0019,P006,P009,2026-09-01 19:20:00,73,NORMAL
CDR0020,P007,P008,2026-09-01 14:25:00,182,NORMAL
CDR0021,P005,P006,2026-09-01 18:56:00,412,NORMAL
CDR0022,P009,P010,2026-09-01 19:31:00,247,NORMAL
CDR0023,P005,P008,2026-09-01 13:08:00,171,NORMAL
CDR0024,P006,P009,2026-09-02 18:27:00,343,NORMAL
CDR0025,P010,P004,2026-09-02 12:08:00,305,NORMAL
CDR0026,P005,P008,2026-09-01 09:55:00,101,NORMAL
CDR0027,P006,P007,2026-09-01 19:27:00,350,NORMAL
CDR0028,P005,P006,2026-09-02 15:38:00,284,NORMAL
CDR0029,P006,P009,2026-09-02 17:55:00,50,NORMAL
CDR0030,P005,P006,2026-09-02 19:21:00,102,NORMAL
CDR0031,P008,P009,2026-09-02 11:29:00,46,NORMAL
CDR0032,P008,P009,2026-09-01 17:58:00,99,NORMAL
CDR0033,P008,P009,2026-09-01 11:23:00,127,NORMAL
CDR0034,P006,P009,2026-09-01 18:20:00,295,NORMAL
CDR0035,P004,P005,2026-09-01 14:56:00,202,NORMAL
CDR0036,P007,P008,2026-09-01 12:56:00,335,NORMAL
CDR0037,P005,P006,2026-09-01 16:52:00,80,NORMAL
CDR0038,P006,P009,2026-09-01 11:42:00,288,NORMAL
CDR0039,P006,P009,2026-09-01 13:33:00,355,NORMAL
CDR0040,P010,P004,2026-09-01 17:48:00,418,NORMAL
CDR0041,P007,P008,2026-09-02 15:42:00,377,NORMAL
CDR0042,P009,P010,2026-09-02 17:28:00,106,NORMAL
CDR0043,P007,P008,2026-09-01 10:21:00,55,NORMAL
CDR0044,P007,P010,2026-09-01 18:14:00,48,NORMAL
CDR0045,P005,P006,2026-09-01 12:04:00,61,NORMAL
CDR0046,P009,P010,2026-09-01 17:15:00,187,NORMAL
CDR0047,P005,P008,2026-09-01 17:08:00,415,NORMAL
CDR0048,P007,P010,2026-09-02 12:50:00,287,NORMAL
CDR0049,P010,P004,2026-09-01 10:06:00,382,NORMAL
CDR0050,P010,P004,2026-09-02 15:26:00,284,NORMAL
CDR0051,P004,P005,2026-09-01 09:25:00,417,NORMAL
CDR0052,P009,P010,2026-09-01 12:12:00,142,NORMAL
CDR0053,P006,P009,2026-09-02 11:27:00,138,NORMAL
CDR0054,P008,P009,2026-09-02 12:55:00,83,NORMAL
CDR0055,P005,P008,2026-09-01 09:41:00,321,NORMAL
CDR0056,P004,P005,2026-09-01 12:10:00,253,NORMAL
CDR0057,P005,P008,2026-09-02 12:55:00,250,NORMAL
CDR0058,P004,P005,2026-09-01 15:00:00,244,NORMAL
CDR0059,P008,P009,2026-09-02 13:27:00,401,NORMAL
CDR0060,P006,P009,2026-09-02 11:12:00,196,NORMAL
CDR0061,P007,P008,2026-09-01 18:47:00,322,NORMAL
CDR0062,P004,P005,2026-09-02 09:03:00,344,NORMAL
CDR0063,P005,P008,2026-09-01 09:32:00,86,NORMAL
CDR0064,P006,P007,2026-09-01 18:04:00,390,NORMAL
CDR0065,P007,P008,2026-09-02 10:56:00,336,NORMAL
CDR0066,P007,P008,2026-09-01 18:05:00,259,NORMAL
CDR0067,P007,P010,2026-09-02 13:13:00,387,NORMAL
CDR0068,P009,P010,2026-09-01 13:25:00,112,NORMAL
CDR0069,P008,P009,2026-09-02 14:59:00,82,NORMAL
CDR0070,P004,P005,2026-09-02 18:36:00,96,NORMAL
CDR0071,P005,P006,2026-09-01 17:16:00,112,NORMAL
CDR0072,P009,P010,2026-09-01 12:23:00,190,NORMAL
CDR0073,P006,P007,2026-09-02 17:45:00,199,NORMAL
CDR0074,P007,P010,2026-09-01 19:52:00,328,NORMAL
CDR0075,P008,P009,2026-09-01 11:16:00,104,NORMAL
CDR0076,P005,P006,2026-09-01 13:18:00,354,NORMAL
CDR0077,P007,P008,2026-09-02 12:43:00,369,NORMAL
CDR0078,P008,P009,2026-09-02 13:57:00,71,NORMAL
CDR0079,P005,P006,2026-09-02 13:02:00,46,NORMAL
CDR0080,P009,P010,2026-09-01 19:16:00,127,NORMAL
CDR0081,P005,P008,2026-09-02 17:00:00,102,NORMAL
CDR0082,P005,P006,2026-09-01 17:02:00,234,NORMAL
CDR0083,P007,P010,2026-09-01 15:08:00,66,NORMAL
CDR0084,P008,P009,2026-09-02 09:57:00,228,NORMAL
CDR0085,P007,P008,2026-09-01 19:06:00,226,NORMAL
CDR0086,P006,P009,2026-09-02 18:47:00,124,NORMAL
CDR0087,P007,P008,2026-09-01 11:56:00,256,NORMAL
CDR0088,P004,P005,2026-09-01 14:50:00,255,NORMAL
CDR0089,P007,P008,2026-09-02 11:50:00,404,NORMAL
CDR0090,P005,P006,2026-09-02 09:54:00,285,NORMAL
CDR0091,P007,P008,2026-09-01 16:22:00,201,NORMAL
CDR0092,P007,P008,2026-09-01 09:42:00,143,NORMAL
CDR0093,P010,P004,2026-09-02 13:55:00,80,NORMAL
CDR0094,P008,P009,2026-09-02 19:32:00,249,NORMAL
CDR0095,P006,P009,2026-09-02 09:07:00,178,NORMAL
CDR0096,P006,P007,2026-09-02 09:06:00,350,NORMAL
CDR0097,P010,P004,2026-09-02 14:27:00,355,NORMAL
CDR0098,P006,P009,2026-09-01 15:57:00,340,NORMAL
CDR0099,P007,P008,2026-09-02 09:45:00,268,NORMAL
CDR0100,P004,P005,2026-09-01 14:27:00,80,NORMAL
CDR0101,P001,P005,2026-09-01 14:39:00,71,NORMAL
CDR0102,P001,P005,2026-09-01 13:32:00,144,NORMAL
CDR0103,P001,P006,2026-09-01 14:25:00,115,NORMAL
CDR0104,P001,P004,2026-09-01 17:08:00,147,NORMAL
CDR0105,P001,P006,2026-09-01 15:43:00,84,NORMAL
CDR0106,P001,P006,2026-09-01 13:25:00,40,NORMAL
CDR0107,P001,P004,2026-09-01 13:18:00,150,NORMAL
CDR0108,P001,P005,2026-09-01 14:29:00,153,NORMAL
CDR0109,P001,P005,2026-09-01 12:32:00,83,NORMAL
CDR0110,P001,P006,2026-09-01 10:18:00,125,NORMAL
CDR0111,P001,P002,2026-09-01 18:02:00,261,INCIDENT
CDR0112,P002,P001,2026-09-01 18:05:00,178,INCIDENT
CDR0113,P001,P003,2026-09-01 18:21:00,180,INCIDENT
CDR0114,P002,P003,2026-09-01 18:27:00,312,INCIDENT
CDR0115,P003,P001,2026-09-01 18:31:00,145,INCIDENT
CDR0116,P001,P002,2026-09-01 18:39:00,204,INCIDENT
CDR0117,P002,P001,2026-09-01 18:43:00,97,INCIDENT
