ipdr_id,person_id,ip_address,timestamp,session_duration_seconds,device_id,scenario_tag
IPDR0001,P006,10.10.1.16,2026-09-02 19:05:00,366,DEV006,NORMAL
IPDR0002,P009,10.10.1.19,2026-09-02 14:40:00,765,DEV009,NORMAL
IPDR0003,P008,10.10.1.18,2026-09-01 18:04:00,270,DEV008,NORMAL
IPDR0004,P005,10.10.1.15,2026-09-01 10:27:00,130,DEV005,NORMAL
IPDR0005,P002,10.10.1.12,2026-09-02 11:44:00,336,DEV002,NORMAL
IPDR0006,P001,10.10.1.11,2026-09-01 14:50:00,87,DEV001,NORMAL
IPDR0007,P005,10.10.1.15,2026-09-02 14:27:00,179,DEV005,NORMAL
IPDR0008,P004,10.10.1.14,2026-09-02 18:43:00,841,DEV004,NORMAL
IPDR0009,P003,10.10.1.13,2026-09-01 11:05:00,654,DEV003,NORMAL
IPDR0010,P007,10.10.1.17,2026-09-01 16:58:00,627,DEV007,NORMAL
IPDR0011,P003,10.10.1.13,2026-09-01 16:40:00,290,DEV003,NORMAL
IPDR0012,P008,10.10.1.18,2026-09-02 19:00:00,853,DEV008,NORMAL
IPDR0013,P008,10.10.1.18,2026-09-02 19:34:00,191,DEV008,NORMAL
IPDR0014,P002,10.10.1.12,2026-09-02 14:37:00,336,DEV002,NORMAL
IPDR0015,P007,10.10.1.17,2026-09-02 16:54:00,339,DEV007,NORMAL
IPDR0016,P004,10.10.1.14,2026-09-02 16:06:00,272,DEV004,NORMAL
IPDR0017,P007,10.10.1.17,2026-09-02 18:18:00,746,DEV007,NORMAL
IPDR0018,P005,10.10.1.15,2026-09-01 19:25:00,311,DEV005,NORMAL
IPDR0019,P001,10.10.1.11,2026-09-01 18:47:00,538,DEV001,NORMAL
IPDR0020,P005,10.10.1.15,2026-09-01 18:51:00,390,DEV005,NORMAL
IPDR0021,P004,10.10.1.14,2026-09-01 18:16:00,724,DEV004,NORMAL
IPDR0022,P003,10.10.1.13,2026-09-01 19:41:00,70,DEV003,NORMAL
IPDR0023,P005,10.10.1.15,2026-09-02 09:37:00,403,DEV005,NORMAL
IPDR0024,P003,10.10.1.13,2026-09-01 13:20:00,795,DEV003,NORMAL
IPDR0025,P007,10.10.1.17,2026-09-01 12:08:00,835,DEV007,NORMAL
IPDR0026,P009,10.10.1.19,2026-09-02 17:32:00,309,DEV009,NORMAL
IPDR0027,P003,10.10.1.13,2026-09-02 16:51:00,332,DEV003,NORMAL
IPDR0028,P006,10.10.1.16,2026-09-01 16:04:00,174,DEV006,NORMAL
IPDR0029,P004,10.10.1.14,2026-09-02 17:23:00,122,DEV004,NORMAL
IPDR0030,P007,10.10.1.17,2026-09-01 13:34:00,156,DEV007,NORMAL
IPDR0031,P008,10.10.1.18,2026-09-02 19:47:00,718,DEV008,NORMAL
IPDR0032,P005,10.10.1.15,2026-09-02 19:23:00,140,DEV005,NORMAL
IPDR0033,P004,10.10.1.14,2026-09-02 09:39:00,604,DEV004,NORMAL
IPDR0034,P006,10.10.1.16,2026-09-01 19:04:00,680,DEV006,NORMAL
IPDR0035,P008,10.10.1.18,2026-09-02 19:26:00,149,DEV008,NORMAL
IPDR0036,P003,10.10.1.13,2026-09-01 09:19:00,534,DEV003,NORMAL
IPDR0037,P002,10.10.1.12,2026-09-01 12:56:00,580,DEV002,NORMAL
IPDR0038,P003,10.10.1.13,2026-09-02 16:23:00,716,DEV003,NORMAL
IPDR0039,P009,10.10.1.19,2026-09-02 18:47:00,774,DEV009,NORMAL
IPDR0040,P003,10.10.1.13,2026-09-02 19:06:00,883,DEV003,NORMAL
IPDR0041,P008,10.10.1.18,2026-09-02 13:02:00,736,DEV008,NORMAL
IPDR0042,P006,10.10.1.16,2026-09-01 16:28:00,271,DEV006,NORMAL
IPDR0043,P006,10.10.1.16,2026-09-01 19:23:00,587,DEV006,NORMAL
IPDR0044,P006,10.10.1.16,2026-09-01 15:17:00,224,DEV006,NORMAL
IPDR0045,P002,10.10.1.12,2026-09-02 10:42:00,247,DEV002,NORMAL
IPDR0046,P010,10.10.1.20,2026-09-01 09:50:00,371,DEV010,NORMAL
IPDR0047,P004,10.10.1.14,2026-09-01 18:13:00,100,DEV004,NORMAL
IPDR0048,P009,10.10.1.19,2026-09-01 18:13:00,862,DEV009,NORMAL
IPDR0049,P004,10.10.1.14,2026-09-02 11:50:00,640,DEV004,NORMAL
IPDR0050,P001,10.10.1.11,2026-09-02 11:08:00,583,DEV001,NORMAL
IPDR0051,P005,10.10.1.15,2026-09-01 10:42:00,56,DEV005,NORMAL
IPDR0052,P003,10.10.1.13,2026-09-01 14:50:00,837,DEV003,NORMAL
IPDR0053,P004,10.10.1.14,2026-09-02 09:11:00,301,DEV004,NORMAL
IPDR0054,P001,10.10.1.11,2026-09-01 15:33:00,146,DEV001,NORMAL
IPDR0055,P002,10.10.1.12,2026-09-02 16:49:00,400,DEV002,NORMAL
IPDR0056,P009,10.10.1.19,2026-09-01 16:32:00,256,DEV009,NORMAL
IPDR0057,P010,10.10.1.20,2026-09-01 19:33:00,338,DEV010,NORMAL
IPDR0058,P008,10.10.1.18,2026-09-01 09:30:00,897,DEV008,NORMAL
IPDR0059,P007,10.10.1.17,2026-09-02 19:06:00,532,DEV007,NORMAL
IPDR0060,P008,10.10.1.18,2026-09-01 10:20:00,652,DEV008,NORMAL
IPDR0061,P003,10.10.1.13,2026-09-01 11:17:00,669,DEV003,NORMAL
IPDR0062,P010,10.10.1.20,2026-09-02 15:38:00,573,DEV010,NORMAL
IPDR0063,P005,10.10.1.15,2026-09-02 17:38:00,470,DEV005,NORMAL
IPDR0064,P002,10.10.1.12,2026-09-01 19:41:00,817,DEV002,NORMAL
IPDR0065,P009,10.10.1.19,2026-09-01 15:28:00,263,DEV009,NORMAL
IPDR0066,P007,10.10.1.17,2026-09-02 16:25:00,455,DEV007,NORMAL
IPDR0067,P002,10.10.1.12,2026-09-02 15:20:00,711,DEV002,NORMAL
IPDR0068,P005,10.10.1.15,2026-09-02 11:43:00,515,DEV005,NORMAL
IPDR0069,P002,10.10.1.12,2026-09-01 10:05:00,472,DEV002,NORMAL
