social_event_id,person_id,platform,timestamp,activity_type,scenario_tag
SOC_EVT0001,P008,PlatformA,2026-09-01 12:08:00,POST,NORMAL
SOC_EVT0002,P005,PlatformC,2026-09-01 17:49:00,SHARE,NORMAL
SOC_EVT0003,P001,PlatformC,2026-09-02 18:08:00,COMMENT,NORMAL
SOC_EVT0004,P003,PlatformC,2026-09-01 11:53:00,SHARE,NORMAL
SOC_EVT0005,P003,PlatformB,2026-09-02 09:26:00,MESSAGE,NORMAL
SOC_EVT0006,P008,PlatformC,2026-09-02 16:14:00,MESSAGE,NORMAL
SOC_EVT0007,P005,PlatformC,2026-09-02 12:23:00,SHARE,NORMAL
SOC_EVT0008,P008,PlatformB,2026-09-02 13:49:00,SHARE,NORMAL
SOC_EVT0009,P009,PlatformA,2026-09-02 11:52:00,SHARE,NORMAL
SOC_EVT0010,P003,PlatformB,2026-09-02 09:41:00,LOGIN,NORMAL
SOC_EVT0011,P009,PlatformA,2026-09-01 17:54:00,LOGIN,NORMAL
SOC_EVT0012,P002,PlatformC,2026-09-01 13:28:00,MESSAGE,NORMAL
SOC_EVT0013,P007,PlatformB,2026-09-01 12:52:00,LOGIN,NORMAL
SOC_EVT0014,P001,PlatformC,2026-09-02 09:25:00,LOGIN,NORMAL
SOC_EVT0015,P004,PlatformA,2026-09-02 10:23:00,POST,NORMAL
SOC_EVT0016,P006,PlatformA,2026-09-01 19:21:00,MESSAGE,NORMAL
SOC_EVT0017,P001,PlatformA,2026-09-02 16:44:00,COMMENT,NORMAL
SOC_EVT0018,P008,PlatformB,2026-09-01 10:01:00,MESSAGE,NORMAL
SOC_EVT0019,P003,PlatformB,2026-09-02 10:49:00,MESSAGE,NORMAL
SOC_EVT0020,P005,PlatformB,2026-09-01 09:15:00,SHARE,NORMAL
SOC_EVT0021,P008,PlatformB,2026-09-01 10:53:00,SHARE,NORMAL
SOC_EVT0022,P009,PlatformC,2026-09-01 19:32:00,MESSAGE,NORMAL
SOC_EVT0023,P003,PlatformC,2026-09-02 15:00:00,LOGIN,NORMAL
SOC_EVT0024,P004,PlatformC,2026-09-02 11:42:00,POST,NORMAL
SOC_EVT0025,P009,PlatformC,2026-09-02 10:33:00,SHARE,NORMAL
SOC_EVT0026,P009,PlatformB,2026-09-01 15:55:00,POST,NORMAL
SOC_EVT0027,P007,PlatformA,2026-09-02 13:47:00,LOGIN,NORMAL
SOC_EVT0028,P002,PlatformC,2026-09-02 12:46:00,POST,NORMAL
SOC_EVT0029,P010,PlatformB,2026-09-02 11:02:00,SHARE,NORMAL
SOC_EVT0030,P006,PlatformC,2026-09-01 19:29:00,COMMENT,NORMAL
SOC_EVT0031,P003,PlatformB,2026-09-01 10:45:00,POST,NORMAL
SOC_EVT0032,P005,PlatformA,2026-09-01 09:50:00,POST,NORMAL
SOC_EVT0033,P006,PlatformC,2026-09-02 17:25:00,COMMENT,NORMAL
SOC_EVT0034,P005,PlatformB,2026-09-01 19:12:00,LOGIN,NORMAL
SOC_EVT0035,P001,PlatformB,2026-09-02 13:07:00,COMMENT,NORMAL
SOC_EVT0036,P007,PlatformA,2026-09-02 15:21:00,COMMENT,NORMAL
SOC_EVT0037,P008,PlatformA,2026-09-02 17:17:00,COMMENT,NORMAL
SOC_EVT0038,P002,PlatformA,2026-09-02 18:52:00,SHARE,NORMAL
SOC_EVT0039,P005,PlatformB,2026-09-02 10:05:00,LOGIN,NORMAL
SOC_EVT0040,P005,PlatformB,2026-09-02 18:45:00,MESSAGE,NORMAL
SOC_EVT0041,P008,PlatformC,2026-09-02 16:02:00,LOGIN,NORMAL
SOC_EVT0042,P010,PlatformA,2026-09-02 13:40:00,POST,NORMAL
SOC_EVT0043,P007,PlatformC,2026-09-02 17:51:00,MESSAGE,NORMAL
