transaction_id,sender_account,receiver_account,amount,timestamp,channel,scenario_tag
TX0001,A005,A006,1200,2026-09-01 19:19:00,NEFT,NORMAL
TX0002,A007,A008,1200,2026-09-01 09:02:00,NEFT,NORMAL
TX0003,A005,A008,12000,2026-09-01 16:26:00,NEFT,NORMAL
TX0004,A007,A010,5000,2026-09-01 15:31:00,NEFT,NORMAL
TX0005,A007,A008,800,2026-09-01 19:44:00,NEFT,NORMAL
TX0006,A005,A006,18000,2026-09-02 12:11:00,NEFT,NORMAL
TX0007,A006,A009,1200,2026-09-02 09:35:00,NEFT,NORMAL
TX0008,A005,A006,5000,2026-09-02 11:51:00,NEFT,NORMAL
TX0009,A006,A009,18000,2026-09-02 16:39:00,NEFT,NORMAL
TX0010,A006,A009,1200,2026-09-02 17:28:00,NEFT,NORMAL
TX0011,A005,A008,1200,2026-09-02 13:48:00,NEFT,NORMAL
TX0012,A008,A009,2500,2026-09-02 19:15:00,NEFT,NORMAL
TX0013,A005,A008,2500,2026-09-01 13:15:00,NEFT,NORMAL
TX0014,A009,A010,1200,2026-09-02 17:05:00,NEFT,NORMAL
TX0015,A006,A007,1200,2026-09-01 15:44:00,NEFT,NORMAL
TX0016,A007,A008,2500,2026-09-01 15:26:00,NEFT,NORMAL
TX0017,A006,A009,1200,2026-09-02 15:03:00,NEFT,NORMAL
TX0018,A010,A004,800,2026-09-02 18:44:00,NEFT,NORMAL
TX0019,A007,A010,2500,2026-09-02 16:00:00,NEFT,NORMAL
TX0020,A008,A009,12000,2026-09-02 15:34:00,NEFT,NORMAL
TX0021,A006,A009,2500,2026-09-01 16:14:00,NEFT,NORMAL       
TX0022,A010,A004,2500,2026-09-02 09:24:00,NEFT,NORMAL
TX0023,A010,A004,1200,2026-09-01 16:58:00,NEFT,NORMAL
TX0024,A007,A010,7500,2026-09-01 15:37:00,NEFT,NORMAL
TX0025,A004,A005,1200,2026-09-01 19:27:00,NEFT,NORMAL
TX0026,A005,A008,5000,2026-09-01 09:16:00,NEFT,NORMAL
TX0027,A009,A010,2500,2026-09-01 16:20:00,NEFT,NORMAL
TX0028,A010,A004,18000,2026-09-02 15:16:00,NEFT,NORMAL
TX0029,A005,A006,7500,2026-09-02 09:47:00,NEFT,NORMAL
TX0030,A004,A005,800,2026-09-02 12:41:00,NEFT,NORMAL
TX0031,A004,A005,18000,2026-09-01 12:12:00,NEFT,NORMAL
TX0032,A004,A005,5000,2026-09-01 12:08:00,NEFT,NORMAL
TX0033,A005,A006,2500,2026-09-01 16:44:00,NEFT,NORMAL
TX0034,A009,A010,12000,2026-09-01 18:38:00,NEFT,NORMAL
TX0035,A005,A006,7500,2026-09-01 13:06:00,NEFT,NORMAL
TX0036,A004,A005,5000,2026-09-02 18:43:00,NEFT,NORMAL
TX0037,A010,A004,12000,2026-09-01 10:37:00,NEFT,NORMAL
TX0038,A007,A008,12000,2026-09-01 13:54:00,NEFT,NORMAL
TX0039,A007,A010,800,2026-09-01 18:50:00,NEFT,NORMAL
TX0040,A009,A010,800,2026-09-02 19:23:00,NEFT,NORMAL
TX0041,A006,A009,5000,2026-09-02 09:54:00,NEFT,NORMAL
TX0042,A005,A008,12000,2026-09-01 15:23:00,NEFT,NORMAL
TX0043,A005,A008,12000,2026-09-01 15:11:00,NEFT,NORMAL
